hex,alpha entity
0x22ed,&NotRightTriangleEqual;
0x228f,&NotSquareSubset;
0x22e2,&NotSquareSubsetEqual;
0x2290,&NotSquareSuperset;
0x22e3,&NotSquareSupersetEqual;
0x2282,&NotSubset;
0x2288,&NotSubsetEqual;
0x2281,&NotSucceeds;
0x2ab0,&NotSucceedsEqual;
0x22e1,&NotSucceedsSlantEqual;
0x227f,&NotSucceedsTilde;
0x2283,&NotSuperset;
0x2289,&NotSupersetEqual;
0x2241,&NotTilde;
0x2244,&NotTildeEqual;
0x2247,&NotTildeFullEqual;
0x2249,&NotTildeTilde;
0x2224,&NotVerticalBar;
0x1d4a9,&Nscr;
0x00d1,&Ntilde;
0x039d,&Nu;
0x0152,&OElig;
0x00d3,&Oacute;
0x00d4,&Ocirc;
0x041e,&Ocy;
0x0150,&Odblac;
0x1d512,&Ofr;
0x00d2,&Ograve;
0x014c,&Omacr;
0x03a9,&Omega;
0x039f,&Omicron;
0x1d546,&Oopf;
0x201c,&OpenCurlyDoubleQuote;
0x2018,&OpenCurlyQuote;
0x2a54,&Or;
0x1d4aa,&Oscr;
0x00d8,&Oslash;
0x00d5,&Otilde;
0x2a37,&Otimes;
0x00d6,&Ouml;
0x203e,&OverBar;
0x23de,&OverBrace;
0x23b4,&OverBracket;
0x23dc,&OverParenthesis;
0x2202,&PartialD;
0x041f,&Pcy;
0x1d513,&Pfr;
0x03a6,&Phi;
0x03a0,&Pi;
0x00b1,&PlusMinus;
0x210c,&Poincareplane;
0x2119,&Popf;
0x2abb,&Pr;
0x227a,&Precedes;
0x2aaf,&PrecedesEqual;
0x227c,&PrecedesSlantEqual;
0x227e,&PrecedesTilde;
0x2033,&Prime;
0x220f,&Product;
0x2237,&Proportion;
0x221d,&Proportional;
0x1d4ab,&Pscr;
0x03a8,&Psi;
0x0022,&QUOT;
0x1d514,&Qfr;
0x211a,&Qopf;
0x1d4ac,&Qscr;
0x2910,&RBarr;
0x00ae,&REG;
0x0154,&Racute;
0x27eb,&Rang;
0x21a0,&Rarr;
0x2916,&Rarrtl;
0x0158,&Rcaron;
0x0156,&Rcedil;
0x0420,&Rcy;
0x211c,&Re;
0x220b,&ReverseElement;
0x21cb,&ReverseEquilibrium;
0x296f,&ReverseUpEquilibrium;
0x211c,&Rfr;
0x03a1,&Rho;
0x27e9,&RightAngleBracket;
0x2192,&RightArrow;
0x21e5,&RightArrowBar;
0x21c4,&RightArrowLeftArrow;
0x2309,&RightCeiling;
0x27e7,&RightDoubleBracket;
0x295d,&RightDownTeeVector;
0x21c2,&RightDownVector;
0x2955,&RightDownVectorBar;
0x230b,&RightFloor;
0x22a2,&RightTee;
0x21a6,&RightTeeArrow;
0x295b,&RightTeeVector;
0x22b3,&RightTriangle;
0x29d0,&RightTriangleBar;
0x22b5,&RightTriangleEqual;
0x294f,&RightUpDownVector;
0x295c,&RightUpTeeVector;
0x21be,&RightUpVector;
0x2954,&RightUpVectorBar;
0x21c0,&RightVector;
0x2953,&RightVectorBar;
0x21d2,&Rightarrow;
0x211d,&Ropf;
0x2970,&RoundImplies;
0x21db,&Rrightarrow;
0x211b,&Rscr;
0x21b1,&Rsh;
0x29f4,&RuleDelayed;
0x0429,&SHCHcy;
0x0428,&SHcy;
0x042c,&SOFTcy;
0x015a,&Sacute;
0x2abc,&Sc;
0x0160,&Scaron;
0x015e,&Scedil;
0x015c,&Scirc;
0x0421,&Scy;
0x1d516,&Sfr;
0x2193,&ShortDownArrow;
0x2190,&ShortLeftArrow;
0x2192,&ShortRightArrow;
0x2191,&ShortUpArrow;
0x03a3,&Sigma;
0x2218,&SmallCircle;
0x1d54a,&Sopf;
0x221a,&Sqrt;
0x25a1,&Square;
0x2293,&SquareIntersection;
0x228f,&SquareSubset;
0x2291,&SquareSubsetEqual;
0x2290,&SquareSuperset;
0x2292,&SquareSupersetEqual;
0x2294,&SquareUnion;
0x1d4ae,&Sscr;
0x22c6,&Star;
0x22d0,&Sub;
0x22d0,&Subset;
0x2286,&SubsetEqual;
0x227b,&Succeeds;
0x2ab0,&SucceedsEqual;
0x227d,&SucceedsSlantEqual;
0x227f,&SucceedsTilde;
0x220b,&SuchThat;
0x2211,&Sum;
0x22d1,&Sup;
0x2283,&Superset;
0x2287,&SupersetEqual;
0x22d1,&Supset;
0x00de,&THORN;
0x2122,&TRADE;
0x040b,&TSHcy;
0x0426,&TScy;
0x0009,&Tab;
0x03a4,&Tau;
0x0164,&Tcaron;
0x0162,&Tcedil;
0x0422,&Tcy;
0x1d517,&Tfr;
0x2234,&Therefore;
0x0398,&Theta;
0x205f,&ThickSpace;
0x2009,&ThinSpace;
0x223c,&Tilde;
0x2243,&TildeEqual;
0x2245,&TildeFullEqual;
0x2248,&TildeTilde;
0x1d54b,&Topf;
0x20db,&TripleDot;
0x1d4af,&Tscr;
0x0166,&Tstrok;
0x00da,&Uacute;
0x219f,&Uarr;
0x2949,&Uarrocir;
0x040e,&Ubrcy;
0x016c,&Ubreve;
0x00db,&Ucirc;
0x0423,&Ucy;
0x0170,&Udblac;
0x1d518,&Ufr;
0x00d9,&Ugrave;
0x016a,&Umacr;
0x005f,&UnderBar;
0x23df,&UnderBrace;
0x23b5,&UnderBracket;
0x23dd,&UnderParenthesis;
0x22c3,&Union;
0x228e,&UnionPlus;
0x0172,&Uogon;
0x1d54c,&Uopf;
0x2191,&UpArrow;
0x2912,&UpArrowBar;
0x21c5,&UpArrowDownArrow;
0x2195,&UpDownArrow;
0x296e,&UpEquilibrium;
0x22a5,&UpTee;
0x21a5,&UpTeeArrow;
0x21d1,&Uparrow;
0x21d5,&Updownarrow;
0x2196,&UpperLeftArrow;
