0xfb13,Armenian Ligatures
0x055f,armenian patiw
0x055e,ARMENIAN QUESTION MARK
0x055b,armenian shesht
0x0561,Armenian Small Letters
0x0589,armenian vertsaket
0x058a,armenian yentamna
0x20d4,ARROW ABOVE
0x20d5,ARROW ABOVE
0x20d4,arrow above
0x20d6,ARROW ABOVE
0x20e1,ARROW ABOVE
0x20d7,ARROW ABOVE
0x0362,ARROW BELOW
0x20ee,ARROW BELOW
0x034d,ARROW BELOW
0x20ef,ARROW BELOW
0x034e,ARROW BELOW
0x2794,Arrow Dingbats
0x25c5,arrow indicator
0x25bb,arrow indicator
0x20ea,ARROW OVERLAY
0x2193,ARROW
0x2301,ARROW
0x2190,ARROW
0x2192,ARROW
0x2191,ARROW
0x0350,ARROWHEAD ABOVE
0x0354,ARROWHEAD BELOW
0x0355,ARROWHEAD BELOW
0x2304,ARROWHEAD
0x2303,ARROWHEAD
0x02c2,Arrowheads
0x2190,Arrows
0x2794,Arrows
0x21cd,Arrows
0x27f5,Arrows
0x2b30,Arrows
0x2b00,Arrows
0x1f500,Arrows
0x1f519,Arrows
0x27f0,Arrows-A Supplement
0x2900,Arrows-B
0x1f800,Arrows-C
0x260a,ASCENDING NODE
0x0000,ASCII C0 Control Codes
0x0030,ASCII Digits
0x0020,ASCII Punctuation and Symbols
0xff01,ASCII Variants
0x00e6,ash
0xac00,Asian Scripts Area
0x22a6,ASSERTION
0x002a,ASTERISK
0x20f0,ASTERISK ABOVE
0x0359,ASTERISK BELOW
0x2722,Asterisk Dingbats
0x2217,ASTERISK OPERATOR
0x229b,ASTERISK OPERATOR
0x204e,ASTERISK
0x2722,Asterisks
0x1f7af,Asterisks
0x2051,ASTERISKS ALIGNED VERTICALLY
0x2042,ASTERISM
0x26b3,Astrological Signs
0x0f15,Astrological Signs
0x263d,Astrological Symbols
0x2600,Astrological Symbols
0x2248,asymptotic to
0x2243,ASYMPTOTICALLY EQUAL TO
0x2244,ASYMPTOTICALLY EQUAL TO
0x0040,at sign
0x0040,AT
0x269b,ATOM SYMBOL
0x1f4f7,Audio and Video Symbols
0x20b3,AUSTRAL SIGN
0x093d,AVAGRAHA
0x10b00,Avestan
0x0b83,aytham
0x1e03,B WITH DOT ABOVE
0x1e05,B WITH DOT BELOW
0x0181,B WITH HOOK
0x0253,B WITH HOOK
0x1e07,B WITH LINE BELOW
0x0243,B WITH STROKE
0x0180,B WITH STROKE
0x0183,B WITH TOPBAR
0x0299,B
0x1d03,B
0x212c,B
0x1f476,BABY
0x1f47c,BABY ANGEL
0x0264,baby gamma
0x005c,backslash
0x20e0,BACKSLASH
0x0008,BACKSPACE
0x2408,BACKSPACE
0x25c5,backward arrow indicator
0x2207,backward difference
0x008c,BACKWARD
0x228e,bag addition
0x27e6,bag bracket
0x27e7,bag bracket
0x266f,bag count
0x22ff,BAG MEMBERSHIP
0x2a41,bag subtraction
0x0e3f,BAHT
0x1b00,Balinese
0x1b50,Balinese Digits
0x1b61,Balinese Musical Symbols
0x2610,BALLOT BOX
0x2611,BALLOT BOX WITH CHECK
0x2612,BALLOT BOX WITH X
0x1f5f3,Ballot Symbols
0x2717,BALLOT X
0x2718,BALLOT X
0xa6a0,Bamum
0x16800,Bamum Supplement
0x0021,bang
0x2758,Bar Dingbats
0x29ee,Bar Symbols
0x00a6,BAR
0x2015,BAR
0x007c,bar
0x2afe,BAR
0x1f488,BARBER POLE
0x1d03,BARRED B
0x019f,barred o
0x0275,BARRED O
0x22a5,base
0x26be,BASEBALL
0x16ad0,Bassa Vah
0x1bc0,Batak
0x055c,batsaganchakan nshan
0x1f50b,BATTERY
0x2694,battleground symbol
0x26f1,beach
0x266b,BEAMED EIGHTH NOTES
0x266b,beamed quavers
0x266c,beamed semiquavers
0x266c,BEAMED SIXTEENTH NOTES
0x1f43b,BEAR FACE
0x2235,BECAUSE
0x1f404,beef (on menus)
0x0007,BELL
0x1f514,BELL
0x237e,BELL SYMBOL
0x2407,BELL
0x0317,BELOW
0x0359,BELOW
0x032e,BELOW
0x032a,BELOW
0x032c,BELOW
0x032d,BELOW
0x0326,BELOW
0x0324,BELOW
0x0323,BELOW
0x035c,BELOW
0x035f,BELOW
0x0362,BELOW
0x035a,BELOW
0x0348,BELOW
0x031e,BELOW
0x0347,BELOW
0x0316,BELOW
0x032f,BELOW
0x033a,BELOW
0x032b,BELOW
0x0349,BELOW
0x20ee,BELOW
0x0354,BELOW
0x031c,BELOW
0x034d,BELOW
0x0318,BELOW
0x0331,BELOW
0x0320,BELOW
0x0321,BELOW
0x031f,BELOW
0x0322,BELOW
0x20ef,BELOW
0x0355,BELOW
0x0339,BELOW
0x0319,BELOW
0x0325,BELOW
0x033c,BELOW
0x033b,BELOW
0x0330,BELOW
0x031d,BELOW
0x034e,BELOW
0x0329,BELOW
0x0353,BELOW
0x026c,BELT
0x20e7,bend
0x0980,Bengali
0x0995,Bengali Consonants
0x09f2,Bengali Currency Signs
0x09be,Bengali Dependent Vowel Signs
0x09e6,Bengali Digits
0x09cd,bengali hasant
0x0985,Bengali Independent Vowels
0x09fa,BENGALI ISSHAR
0x09f2,BENGALI RUPEE MARK
0x09f3,BENGALI RUPEE SIGN
0x232c,BENZENE RING
0x212c,bernoulli function
0x2136,BET SYMBOL
0x03d0,BETA SYMBOL
0x03d0,beta
0x226c,BETWEEN
0x1f375,Beverage Symbols
0x2615,BEVERAGE
0x202a,Bidirectional Format Characters
0xfa0c,Big 5
0x29f9,BIG REVERSE SOLIDUS
0x29f8,BIG SOLIDUS
0x2916,bijection
0x0298,BILABIAL CLICK
0x02ac,BILABIAL PERCUSSIVE
0x0902,bindu
0x2623,BIOHAZARD SIGN
0x1f426,BIRD
0x1800,BIRGA
0xfdfd,BISMILLAH AR-RAHMAN AR-RAHEEM
0x25cf,BLACK CIRCLE
0x26ab,BLACK CIRCLE
0x2691,BLACK FLAG
0x29d7,BLACK HOURGLASS
0x261a,BLACK LEFT POINTING INDEX
0x204c,BLACK LEFTWARDS BULLET
0x3010,BLACK LENTICULAR BRACKET
0x3011,BLACK LENTICULAR BRACKET
0x29eb,BLACK LOZENGE
0x25fe,BLACK MEDIUM SMALL SQUARE
0x25fc,BLACK MEDIUM SQUARE
0x2712,BLACK NIB
0x25b0,BLACK PARALLELOGRAM
0x261b,BLACK RIGHT POINTING INDEX
0x204d,BLACK RIGHTWARDS BULLET
0x2702,BLACK SCISSORS
0x2617,BLACK SHOGI PIECE
0x2022,black small circle
0x263b,BLACK SMILING FACE
0x2605,BLACK STAR
0x2600,BLACK SUN WITH RAYS
0x260e,BLACK TELEPHONE
0x212d,BLACK-LETTER CAPITAL C
0x210c,BLACK-LETTER CAPITAL H
0x2111,BLACK-LETTER CAPITAL I
0x211c,BLACK-LETTER CAPITAL R
0x2128,BLACK-LETTER CAPITAL Z
0x1d504,Black-letter Mathematical Symbols
0x2422,BLANK SYMBOL
0x2580,Block Elements
0x0017,BLOCK
0x2588,BLOCK
0x2417,BLOCK
0x1f421,BLOWFISH
0x1f417,BOAR
0x26f4,boat terminal
0x2c80,Bohairic Coptic
0x1d7ce,Bold Digits
0x1d7ec,Bold Digits
0x1d56c,Bold Fraktur Mathematical Symbols
0x1d6a8,Bold Greek Mathematical Symbols
0x1d756,Bold Greek Mathematical Symbols
0x1d71c,Bold Italic Greek Mathematical Symbols
0x1d790,Bold Italic Greek Mathematical Symbols
0x1d468,Bold Italic Mathematical Symbols
0x1d63c,Bold Italic Mathematical Symbols
0x1d400,Bold Mathematical Symbols
0x1d5d4,Bold Mathematical Symbols
0x1d4d0,Bold Script Mathematical Symbols
0xfeff,bom
0x1f4a3,BOMB
0x1f56e,BOOK
0x1f4d5,Books
0x31a0,Bopomofo Extensions
0x3100,Bopomofo
0x22a5,bottom
0x055d,bowt
0x22c8,BOWTIE
0x29d1,Bowtie Symbols
0x2a1d,bowtie
0x29d6,bowtie
0x2500,Box Drawing
0x2611,BOX WITH CHECK
0x2612,BOX WITH X
0x2610,BOX
0x2423,BOX
0x237d,BOX
0x2327,BOX
0x1f466,BOY
0x27e8,bra
0x007d,brace
0x007b,brace
0x239b,Bracket Pieces
0x23b0,Bracket Pieces
0x23dc,Bracket Variants for Vertical Text
0x2045,BRACKET WITH QUILL
0x2046,BRACKET WITH QUILL
0x007d,bracket
0x005d,bracket
0x301a,bracket
0x3008,BRACKET
0x27e6,bracket
0x3010,BRACKET
0x27ea,bracket
0x300c,BRACKET
0x007b,BRACKET
0x300a,BRACKET
0x27e8,bracket
0x005b,BRACKET
0x3014,BRACKET
0x300e,BRACKET
0x2983,BRACKET
0x3016,BRACKET
0x301a,BRACKET
0x3018,BRACKET
0x2329,BRACKET
0x27e8,BRACKET
0x27ea,BRACKET
0x27e9,BRACKET
0x27eb,BRACKET
0x007b,bracket
0x005b,bracket
0x301b,bracket
0x3009,BRACKET
0x27e7,bracket
0x3011,BRACKET
0x27eb,bracket
0x300d,BRACKET
0x007d,BRACKET
0x300b,BRACKET
0x27e9,bracket
0x005d,BRACKET
0x3015,BRACKET
0x300f,BRACKET
0x2984,BRACKET
0x3017,BRACKET
0x301b,BRACKET
0x3019,BRACKET
0x232a,BRACKET
0x2983,Brackets
0x3008,Brackets
0x300c,Brackets
0x2308,Brackets
0x27e6,Brackets
0x2768,Brackets
0x23b4,Brackets
0x11000,Brahmi
0x2800,Braille Patterns
0x20a2,brazilian currency
0x0083,BREAK HERE
0x0082,BREAK PERMITTED HERE
0x0314,breathing mark
0x0313,breathing mark
0x02d8,BREVE
0x032e,BREVE BELOW
0x035c,BREVE BELOW
0x1dfc,BREVE BELOW
0x032f,BREVE BELOW
0x0306,BREVE
0x035d,BREVE
0x0361,BREVE
0x0311,BREVE
0x1f470,BRIDE WITH VEIL
0x0346,BRIDGE ABOVE
0x20e9,BRIDGE ABOVE
0x032a,BRIDGE BELOW
0x033a,BRIDGE BELOW
0x1f4a8,briffits
0x00a6,BROKEN BAR
0x00a6,broken vertical bar
0x1f5e8,Bubble Symbols
0x1f660,Bud Ornaments
0x1f41b,BUG
0x1a00,Buginese
0x1740,Buhid
0x1f3d4,Building and Map Symbols
0x1f3e0,Building and Map Symbols
0x2022,BULLET
0x2219,BULLET OPERATOR
0x204c,BULLET
0x204d,BULLET
0x2043,BULLET
0x2619,BULLET
0x25c9,bullet
0x2023,BULLET
0x25e6,BULLET
0x25ce,BULLSEYE
0x1f78b,bullseye
0x0298,bullseye
0x26b0,buried symbol
0x1000,Burmese
0x225c,by definition
0x225d,BY DEFINITION
0x225e,BY
0xfeff,byte order mark
0x1d000,Byzantine Musical Symbols
0x0107,C WITH ACUTE
0x010d,C WITH CARON
0x00c7,C WITH CEDILLA
0x00e7,C WITH CEDILLA
0x0109,C WITH CIRCUMFLEX
0x0255,C WITH CURL
0x010b,C WITH DOT ABOVE
0x0188,C WITH HOOK
0x023b,C WITH STROKE
0x023c,C WITH STROKE
0x2183,c
0x212d,C
0x0368,C
0x2102,C
0x1d04,C
0x0297,C
0x2184,C
0x0000,C0 Control Codes
0x0080,C1 Control Codes
0x2106,CADA UNA
0x2624,CADUCEUS
0x1780,Cambodian
0x1f42b,CAMEL
0x1f42a,CAMEL
0x26fa,camping site
0x18b0,Canadian Aboriginal Syllabics Extended
0x1400,Canadian Aboriginal Syllabics
0x166e,CANADIAN SYLLABICS FULL STOP
0x166d,Canadian Syllabics Punctuation
0x0018,CANCEL
0x0094,CANCEL CHARACTER
0xe007f,CANCEL TAG
0x2418,CANCEL
0x0ecc,CANCELLATION MARK
0x1f5d9,CANCELLATION X
0x264b,CANCER
0x0310,CANDRABINDU
0x0901,CANDRABINDU
0x0591,Cantillation Marks
0x0fc0,Cantillation Signs
0x2229,cap
0x2293,CAP
0x0531,Capital Letters
0x0400,Capital Letters
0x10a0,Capital Letters
0x0391,Capital Letters
0x0041,Capital Letters
0x2e3f,CAPITULUM
0x2651,CAPRICORN
0x21ea,caps lock
0x21ec,caps lock
0x2bb8,caps lock
0x26d0,CAR SLIDING
0x26cd,CAR
0x2660,Card Suits
0x2135,cardinal
0x2138,cardinal
0x2136,cardinal
0x2137,cardinal
0x1f0a0,Cards
0x2105,CARE OF
0x028c,caret
0x2038,CARET
0x2041,CARET INSERTION POINT
0x102a0,Carian
0x02c7,CARON
0x032c,CARON BELOW
0x030c,CARON
0x000d,CARRIAGE RETURN
0x240d,CARRIAGE RETURN
0x00d7,cartesian product
0x26eb,CASTLE
0x1f408,CAT
0x1f431,CAT FACE
0x1f638,Cat Faces
0x1f6c6,caution
0x2621,CAUTION SIGN
0x1f4bf,cd
0x20b5,CEDI SIGN
0x00b8,CEDILLA
0x0312,cedilla above
0x0327,CEDILLA
0x00c7,CEDILLA
0x00e7,CEDILLA
0x00b8,cedilla
0x2308,CEILING
0x2309,CEILING
0x1f380,Celebration Symbols
0x2103,CELSIUS
0x26fc,cemetery
0x00a2,CENT SIGN
0x2385,center
0x2103,centigrade
0x2104,CENTRE LINE SYMBOL
0xfe4e,CENTRELINE LOW LINE
0xfe4a,CENTRELINE OVERLINE
0x034f,cgj
0x26d3,CHAINS
